order_id,user_id,restaurant_id,cuisine,order_datetime,order_dow,order_hour,is_weekend,is_rainy,is_regular_restaurant_for_user,gap_days_since_prev_order,item_count,items,cart_value_inr,restaurant_was_active
O0000000,U000000,R00047,South Indian,2026-04-03 20:00:00,4,20,True,False,True,6,3,Idli Sambar|Uttapam|Masala Dosa,335.76,True
O0000001,U000000,R00087,South Indian,2026-04-11 21:00:00,5,21,True,False,False,8,1,Masala Dosa,163.68,True
O0000002,U000000,R00047,South Indian,2026-05-01 21:00:00,4,21,True,False,False,20,2,Curd Rice|Masala Dosa,210.92,True
O0000003,U000000,R00017,Biryani,2026-05-08 18:00:00,4,18,True,True,True,7,2,Mutton Biryani|Veg Biryani,331.16,True
O0000004,U000000,R00108,Fast Food,2026-05-11 21:00:00,0,21,False,False,True,3,2,Loaded Fries|Burger Combo,264.58,True
O0000005,U000000,R00007,South Indian,2026-05-12 17:00:00,1,17,False,False,True,1,1,Uttapam,105.42,True
O0000006,U000000,R00047,South Indian,2026-05-13 21:00:00,2,21,False,False,True,1,2,Idli Sambar|Curd Rice,238.24,True
O0000007,U000000,R00005,Desserts,2026-06-04 21:00:00,3,21,False,False,False,22,1,Cheesecake Slice,149.5,True
O0000008,U000000,R00007,South Indian,2026-06-05 22:00:00,4,22,True,False,True,2,2,Uttapam|Masala Dosa,213.54,True
O0000009,U000000,R00047,South Indian,2026-06-12 23:00:00,4,23,True,True,True,5,2,Idli Sambar|Masala Dosa,192.25,True
O0000010,U000000,R00007,South Indian,2026-07-09 17:00:00,3,17,False,False,True,27,2,Curd Rice|Idli Sambar,183.19,True
O0000011,U000000,R00047,South Indian,2026-07-16 18:00:00,3,18,False,True,True,7,3,Curd Rice|Uttapam|Idli Sambar,327.97,True
O0000012,U000000,R00041,Rolls & Wraps,2026-07-23 17:00:00,3,17,False,False,False,7,3,Egg Roll|Paneer Roll|Chicken Roll,209.67,True
O0000013,U000000,R00108,Fast Food,2026-08-10 18:00:00,0,18,False,False,False,18,2,Chicken Wrap|Burger Combo,199.53,True
O0000014,U000000,R00108,Fast Food,2026-08-25 20:00:00,1,20,False,True,True,15,1,Cheese Sandwich,103.19,True
O0000015,U000000,R00007,South Indian,2026-09-07 20:00:00,0,20,False,False,True,13,1,Uttapam,91.75,True
O0000016,U000001,R00093,Biryani,2026-04-11 15:00:00,5,15,True,True,True,15,1,Chicken Biryani,167.39,False
O0000017,U000001,R00024,North Indian,2026-04-18 22:00:00,5,22,True,False,True,7,2,Naan Combo|Dal Makhani,200.53,True
O0000018,U000001,R00059,Chinese,2026-04-25 19:00:00,5,19,True,True,True,8,2,Manchurian|Fried Rice,171.08,False
O0000019,U000001,R00024,North Indian,2026-04-28 23:00:00,1,23,False,False,True,3,2,Paneer Tikka|Naan Combo,159.79,True
O0000020,U000001,R00100,North Indian,2026-05-16 16:00:00,5,16,True,False,True,20,2,Paneer Tikka|Naan Combo,218.2,True
O0000021,U000001,R00091,Biryani,2026-05-22 19:00:00,4,19,True,False,False,6,1,Mutton Biryani,118.43,True
O0000022,U000001,R00024,North Indian,2026-05-23 19:00:00,5,19,True,False,True,1,1,Naan Combo,106.0,True
O0000023,U000001,R00024,North Indian,2026-05-30 16:00:00,5,16,True,False,True,9,3,Paneer Tikka|Dal Makhani|Naan Combo,208.61,True
O0000024,U000001,R00091,Biryani,2026-06-21 20:00:00,6,20,True,False,False,22,3,Mutton Biryani|Veg Biryani|Chicken Biryani,500.89,True
O0000025,U000001,R00006,Fast Food,2026-06-20 19:00:00,5,19,True,True,True,2,2,Loaded Fries|Burger Combo,275.73,True
O0000026,U000001,R00098,Fast Food,2026-07-08 17:00:00,2,17,False,False,False,18,3,Chicken Wrap|Cheese Sandwich|Loaded Fries,294.89,True
O0000027,U000001,R00059,Chinese,2026-07-11 23:00:00,5,23,True,True,True,6,3,Fried Rice|Chilli Chicken|Hakka Noodles,296.21,False
O0000028,U000001,R00059,Chinese,2026-07-25 23:00:00,5,23,True,True,True,12,1,Fried Rice,71.67,False
O0000029,U000001,R00059,Chinese,2026-08-01 19:00:00,5,19,True,False,True,7,1,Chilli Chicken,106.06,False
O0000030,U000001,R00091,Biryani,2026-08-24 18:00:00,0,18,False,True,False,23,3,Chicken Biryani|Egg Biryani|Mutton Biryani,306.01,True
O0000031,U000001,R00100,North Indian,2026-08-31 19:00:00,0,19,False,False,True,7,3,Naan Combo|Dal Makhani|Paneer Tikka,302.5,True
O0000032,U000002,R00086,Rolls & Wraps,2026-04-02 16:00:00,3,16,False,False,True,7,1,Paneer Roll,168.34,True
O0000033,U000002,R00086,Rolls & Wraps,2026-04-16 21:00:00,3,21,False,False,True,14,2,Chicken Roll|Egg Roll,272.89,True
O0000034,U000002,R00074,Momos,2026-04-21 18:00:00,1,18,False,False,False,5,1,Steamed Momos,105.7,True
O0000035,U000002,R00090,North Indian,2026-04-26 17:00:00,6,17,True,False,False,5,2,Naan Combo|Butter Chicken,339.66,True
O0000036,U000002,R00062,Pizza,2026-05-21 18:00:00,3,18,False,False,True,28,2,Pepperoni Pizza|Margherita,152.52,True
O0000037,U000002,R00062,Pizza,2026-06-21 16:00:00,6,16,True,True,True,31,2,Farmhouse Pizza|Pepperoni Pizza,175.66,True
O0000038,U000002,R00086,Rolls & Wraps,2026-07-20 20:00:00,0,20,False,False,True,29,2,Egg Roll|Chicken Roll,333.79,True
O0000039,U000002,R00062,Pizza,2026-07-23 20:00:00,3,20,False,True,True,6,2,Pepperoni Pizza|Margherita,169.55,True
O0000040,U000002,R00062,Pizza,2026-07-30 16:00:00,3,16,False,False,True,6,3,Pepperoni Pizza|Margherita|Farmhouse Pizza,276.78,True
O0000041,U000002,R00086,Rolls & Wraps,2026-08-06 19:00:00,3,19,False,False,True,7,2,Chicken Roll|Egg Roll,241.07,True
O0000042,U000002,R00086,Rolls & Wraps,2026-08-12 18:00:00,2,18,False,True,True,6,3,Paneer Roll|Chicken Roll|Egg Roll,359.93,True
O0000043,U000002,R00086,Rolls & Wraps,2026-09-10 18:00:00,3,18,False,False,True,29,1,Chicken Roll,137.58,True
O0000044,U000003,R00102,Biryani,2026-03-27 20:00:00,4,20,True,False,True,1,1,Egg Biryani,87.09,True
O0000045,U000003,R00124,Beverages,2026-04-04 16:00:00,5,16,True,False,False,8,1,Milkshake,95.76,True
O0000046,U000003,R00109,Biryani,2026-04-10 20:00:00,4,20,True,False,True,4,3,Chicken Biryani|Mutton Biryani|Egg Biryani,435.01,True
O0000047,U000003,R00064,Beverages,2026-04-14 20:00:00,1,20,False,False,False,4,2,Cold Coffee|Milkshake,245.2,True
O0000048,U000003,R00102,Biryani,2026-05-05 19:00:00,1,19,False,False,True,21,1,Chicken Biryani,68.7,True
O0000049,U000003,R00102,Biryani,2026-05-15 20:00:00,4,20,True,False,True,13,1,Chicken Biryani,67.31,True
O0000050,U000003,R00034,Chinese,2026-06-05 19:00:00,4,19,True,False,False,21,2,Fried Rice|Manchurian,293.34,True
O0000051,U000003,R00130,Desserts,2026-06-12 18:00:00,4,18,True,True,False,7,1,Ice Cream Tub,103.22,False
O0000052,U000003,R00001,Fast Food,2026-06-19 21:00:00,4,21,True,False,False,7,2,Chicken Wrap|Loaded Fries,305.51,True
O0000053,U000003,R00109,Biryani,2026-06-26 21:00:00,4,21,True,False,True,7,1,Veg Biryani,170.08,True
O0000054,U000003,R00034,Chinese,2026-07-25 20:00:00,5,20,True,True,False,29,3,Manchurian|Chilli Chicken|Hakka Noodles,341.5,True
O0000055,U000003,R00109,Biryani,2026-07-24 20:00:00,4,20,True,False,True,1,3,Egg Biryani|Chicken Biryani|Mutton Biryani,293.92,True
O0000056,U000003,R00053,Rolls & Wraps,2026-08-05 23:00:00,2,23,False,False,True,12,2,Paneer Roll|Chicken Roll,224.34,True
O0000057,U000003,R00089,Biryani,2026-08-21 17:00:00,4,17,True,False,True,15,2,Egg Biryani|Chicken Biryani,214.1,True
O0000058,U000004,R00131,South Indian,2026-04-19 20:00:00,6,20,True,False,False,23,1,Masala Dosa,87.37,True
O0000059,U000004,R00124,Beverages,2026-04-22 20:00:00,2,20,False,False,False,3,3,Milkshake|Cold Coffee|Fresh Juice,329.99,True
O0000060,U000004,R00089,Biryani,2026-05-09 22:00:00,5,22,True,False,True,17,2,Egg Biryani|Veg Biryani,243.15,True
O0000061,U000004,R00089,Biryani,2026-06-04 21:00:00,3,21,False,False,True,24,2,Egg Biryani|Veg Biryani,327.01,True
O0000062,U000004,R00109,Biryani,2026-08-06 20:00:00,3,20,False,True,True,64,1,Chicken Biryani,107.51,True
O0000063,U000004,R00034,Chinese,2026-08-18 23:00:00,1,23,False,True,False,12,2,Hakka Noodles|Chilli Chicken,308.19,True
O0000064,U000005,R00145,North Indian,2026-05-15 17:00:00,4,17,True,False,True,55,1,Dal Makhani,136.26,True
O0000065,U000005,R00039,Biryani,2026-05-21 21:00:00,3,21,False,False,False,6,3,Chicken Biryani|Egg Biryani|Mutton Biryani,623.3,True
O0000066,U000005,R00023,Beverages,2026-08-02 16:00:00,6,16,True,False,False,73,1,Fresh Juice,167.95,True
O0000067,U000005,R00145,North Indian,2026-09-06 18:00:00,6,18,True,False,True,34,1,Paneer Tikka,116.36,True
O0000068,U000006,R00040,Rolls & Wraps,2026-03-31 17:00:00,1,17,False,False,True,7,3,Egg Roll|Paneer Roll|Chicken Roll,301.08,True
O0000069,U000006,R00040,Rolls & Wraps,2026-04-07 20:00:00,1,20,False,False,True,7,1,Egg Roll,148.04,True
O0000070,U000006,R00016,Beverages,2026-04-08 20:00:00,2,20,False,False,True,1,2,Cold Coffee|Milkshake,214.91,True
O0000071,U000006,R00086,Rolls & Wraps,2026-04-12 18:00:00,6,18,True,False,True,6,2,Egg Roll|Chicken Roll,193.74,True
O0000072,U000006,R00062,Pizza,2026-04-25 21:00:00,5,21,True,False,False,13,1,Margherita,102.66,True
O0000073,U000006,R00086,Rolls & Wraps,2026-05-03 18:00:00,6,18,True,False,True,11,1,Egg Roll,147.38,True
O0000074,U000006,R00043,Beverages,2026-05-18 18:00:00,0,18,False,False,True,15,3,Milkshake|Cold Coffee|Fresh Juice,305.46,True
O0000075,U000006,R00043,Beverages,2026-05-21 17:00:00,3,17,False,False,True,3,2,Cold Coffee|Milkshake,132.55,True
O0000076,U000006,R00043,Beverages,2026-05-31 21:00:00,6,21,True,False,True,7,1,Milkshake,70.78,True
O0000077,U000006,R00040,Rolls & Wraps,2026-06-14 17:00:00,6,17,True,False,True,14,2,Chicken Roll|Paneer Roll,295.36,True
O0000078,U000006,R00040,Rolls & Wraps,2026-07-06 15:00:00,0,15,False,True,True,22,2,Chicken Roll|Egg Roll,270.01,True
O0000079,U000006,R00016,Beverages,2026-07-19 18:00:00,6,18,True,True,True,13,3,Fresh Juice|Milkshake|Cold Coffee,312.88,True
O0000080,U000006,R00016,Beverages,2026-08-08 19:00:00,5,19,True,True,True,20,3,Milkshake|Cold Coffee|Fresh Juice,285.33,True
O0000081,U000006,R00086,Rolls & Wraps,2026-08-16 18:00:00,6,18,True,False,True,5,1,Paneer Roll,115.18,True
O0000082,U000006,R00043,Beverages,2026-09-06 19:00:00,6,19,True,True,True,22,2,Milkshake|Fresh Juice,167.13,True
O0000083,U000006,R00090,North Indian,2026-09-10 22:00:00,3,22,False,False,False,4,1,Paneer Tikka,140.19,True
O0000084,U000007,R00058,South Indian,2026-04-14 19:00:00,1,19,False,False,True,17,2,Idli Sambar|Uttapam,160.94,True
O0000085,U000007,R00081,South Indian,2026-05-19 20:00:00,1,20,False,False,True,32,1,Uttapam,124.03,True
O0000086,U000007,R00081,South Indian,2026-06-04 18:00:00,3,18,False,False,True,16,3,Idli Sambar|Masala Dosa|Uttapam,384.45,True
O0000087,U000007,R00058,South Indian,2026-06-13 18:00:00,5,18,True,False,True,9,1,Idli Sambar,76.46,True
O0000088,U000007,R00000,North Indian,2026-07-15 23:00:00,2,23,False,False,False,32,2,Butter Chicken|Naan Combo,293.16,True
O0000089,U000007,R00081,South Indian,2026-07-30 17:00:00,3,17,False,False,True,15,1,Uttapam,108.57,True
O0000090,U000007,R00058,South Indian,2026-08-11 20:00:00,1,20,False,True,True,12,3,Idli Sambar|Masala Dosa|Uttapam,299.15,True
O0000091,U000007,R00011,Chinese,2026-08-26 20:00:00,2,20,False,False,False,15,3,Manchurian|Hakka Noodles|Fried Rice,267.57,True
O0000092,U000007,R00076,South Indian,2026-09-12 22:00:00,5,22,True,False,False,17,2,Curd Rice|Uttapam,207.57,True
O0000093,U000008,R00148,Fast Food,2026-06-07 19:00:00,6,19,True,False,True,70,3,Chicken Wrap|Loaded Fries|Burger Combo,208.85,True
O0000094,U000009,R00059,Chinese,2026-04-04 21:00:00,5,21,True,False,False,6,2,Hakka Noodles|Chilli Chicken,152.53,False
O0000095,U000009,R00132,Momos,2026-04-03 18:00:00,4,18,True,False,True,1,3,Steamed Momos|Tandoori Momos|Fried Momos,321.85,True
