restaurant_id,name,city,cuisine,avg_prep_time_min,price_tier,rating,is_active
R00000,North Kitchen 0,Pune,North Indian,34,mid,4.3,True
R00001,Fast Kitchen 1,Hyderabad,Fast Food,44,mid,4.5,True
R00002,Rolls Kitchen 2,Delhi,Rolls & Wraps,30,premium,4.2,True
R00003,Chinese Kitchen 3,Hyderabad,Chinese,28,budget,4.1,True
R00004,Rolls Kitchen 4,Pune,Rolls & Wraps,23,mid,3.8,True
R00005,Desserts Kitchen 5,Delhi,Desserts,41,mid,3.5,True
R00006,Fast Kitchen 6,Bengaluru,Fast Food,31,mid,4.4,True
R00007,South Kitchen 7,Delhi,South Indian,24,budget,4.0,True
R00008,Fast Kitchen 8,Bengaluru,Fast Food,35,budget,4.3,True
R00009,Fast Kitchen 9,Bengaluru,Fast Food,39,mid,3.7,True
R00010,Fast Kitchen 10,Pune,Fast Food,40,budget,4.3,True
R00011,Chinese Kitchen 11,Pune,Chinese,20,budget,4.5,True
R00012,Fast Kitchen 12,Pune,Fast Food,23,budget,4.1,True
R00013,Pizza Kitchen 13,Mumbai,Pizza,18,mid,4.0,True
R00014,North Kitchen 14,Pune,North Indian,32,mid,4.1,True
R00015,Desserts Kitchen 15,Hyderabad,Desserts,15,budget,3.5,True
R00016,Beverages Kitchen 16,Chennai,Beverages,16,budget,3.7,True
R00017,Biryani Kitchen 17,Delhi,Biryani,34,mid,4.5,True
R00018,Fast Kitchen 18,Delhi,Fast Food,27,budget,3.2,True
R00019,Rolls Kitchen 19,Pune,Rolls & Wraps,36,budget,3.5,True
R00020,Beverages Kitchen 20,Bengaluru,Beverages,29,budget,3.8,True
R00021,Desserts Kitchen 21,Pune,Desserts,33,budget,3.3,True
R00022,Chinese Kitchen 22,Chennai,Chinese,25,mid,3.6,True
R00023,Beverages Kitchen 23,Mumbai,Beverages,38,mid,3.9,True
R00024,North Kitchen 24,Bengaluru,North Indian,28,budget,3.5,True
R00025,Beverages Kitchen 25,Pune,Beverages,32,budget,4.6,True
R00026,Fast Kitchen 26,Pune,Fast Food,34,mid,4.1,True
R00027,Fast Kitchen 27,Hyderabad,Fast Food,17,budget,3.3,True
R00028,South Kitchen 28,Mumbai,South Indian,34,budget,4.1,True
R00029,South Kitchen 29,Mumbai,South Indian,42,mid,3.8,True
R00030,Biryani Kitchen 30,Bengaluru,Biryani,19,budget,4.5,True
R00031,Beverages Kitchen 31,Mumbai,Beverages,29,budget,4.7,True
R00032,Momos Kitchen 32,Delhi,Momos,39,budget,4.0,True
R00033,Biryani Kitchen 33,Mumbai,Biryani,15,mid,4.6,True
R00034,Chinese Kitchen 34,Hyderabad,Chinese,24,mid,3.6,True
R00035,South Kitchen 35,Pune,South Indian,36,mid,3.4,True
R00036,Beverages Kitchen 36,Mumbai,Beverages,22,mid,3.8,True
R00037,North Kitchen 37,Delhi,North Indian,39,budget,4.7,True
R00038,Desserts Kitchen 38,Hyderabad,Desserts,42,premium,3.5,False
