user_id,city,signup_date,frequency_segment,cuisine_preference,habit_weekday,orders_comfort_food_when_rainy
U000000,Delhi,2025-01-01,regular,"['Fast Food', 'South Indian']",4,True
U000001,Bengaluru,2024-08-09,regular,"['Chinese', 'North Indian']",5,True
U000002,Chennai,2025-01-18,regular,"['Rolls & Wraps', 'Pizza']",3,False
U000003,Hyderabad,2024-08-12,regular,"['Biryani', 'Rolls & Wraps']",4,False
U000004,Hyderabad,2024-09-18,occasional,"['North Indian', 'Biryani']",3,True
U000005,Mumbai,2024-01-01,dormant,"['Biryani', 'North Indian']",6,False
U000006,Chennai,2024-07-09,regular,"['Rolls & Wraps', 'Beverages']",6,False
U000007,Pune,2024-07-07,occasional,"['South Indian', 'Beverages']",1,False
U000008,Pune,2024-07-24,dormant,"['Fast Food', 'Rolls & Wraps']",6,True
U000009,Bengaluru,2024-01-21,power,"['Momos', 'Biryani']",4,False
U000010,Bengaluru,2024-01-21,regular,"['Pizza', 'South Indian']",0,False
U000011,Delhi,2025-01-25,regular,"['Fast Food', 'Biryani']",4,True
U000012,Delhi,2024-12-11,power,"['North Indian', 'South Indian']",4,True
U000013,Hyderabad,2024-08-08,regular,"['Pizza', 'Fast Food']",3,True
U000014,Chennai,2024-07-10,regular,"['Desserts', 'Pizza']",3,False
U000015,Mumbai,2024-07-16,power,"['Fast Food', 'Rolls & Wraps']",1,True
U000016,Bengaluru,2025-01-02,regular,"['North Indian', 'Beverages']",0,True
U000017,Mumbai,2024-07-09,occasional,"['Biryani', 'North Indian']",5,False
U000018,Mumbai,2024-12-07,power,"['Desserts', 'Fast Food']",5,False
U000019,Bengaluru,2024-04-09,regular,"['Momos', 'Rolls & Wraps']",5,False
U000020,Pune,2024-11-21,regular,"['South Indian', 'Chinese']",5,True
U000021,Pune,2024-09-11,regular,"['Rolls & Wraps', 'Biryani']",0,True
U000022,Pune,2024-03-07,power,"['Momos', 'Pizza']",5,True
U000023,Pune,2024-02-29,dormant,"['Biryani', 'Momos']",1,False
U000024,Pune,2024-07-21,regular,"['Beverages', 'South Indian']",0,False
U000025,Bengaluru,2024-06-04,occasional,"['South Indian', 'Momos']",6,False
U000026,Mumbai,2024-04-19,occasional,"['North Indian', 'Desserts']",3,False
U000027,Hyderabad,2024-03-16,dormant,"['North Indian', 'Beverages']",2,False
U000028,Hyderabad,2024-09-01,regular,"['South Indian', 'Momos']",5,False
U000029,Delhi,2024-04-17,occasional,"['Desserts', 'Pizza']",4,False
U000030,Bengaluru,2024-11-14,power,"['Momos', 'Chinese']",1,False
U000031,Delhi,2024-03-05,regular,"['Fast Food', 'Desserts']",6,True
U000032,Chennai,2024-12-09,regular,"['Beverages', 'Rolls & Wraps']",4,False
U000033,Mumbai,2024-09-15,dormant,"['Chinese', 'Fast Food']",5,False
U000034,Chennai,2024-08-15,occasional,"['Chinese', 'South Indian']",6,False
U000035,Chennai,2024-01-02,power,"['South Indian', 'Fast Food']",0,False
U000036,Pune,2024-10-14,regular,"['Rolls & Wraps', 'Beverages']",3,False
U000037,Delhi,2024-06-02,occasional,"['Chinese', 'North Indian']",6,False
U000038,Delhi,2024-05-30,regular,"['Chinese', 'Beverages']",2,False
U000039,Bengaluru,2024-01-10,regular,"['Pizza', 'Rolls & Wraps']",1,False
U000040,Delhi,2024-04-21,dormant,"['Fast Food', 'Biryani']",4,False
U000041,Mumbai,2024-02-21,regular,"['Beverages', 'North Indian']",6,False
U000042,Chennai,2024-02-14,occasional,"['Beverages', 'Biryani']",5,False
U000043,Mumbai,2024-02-12,dormant,"['Rolls & Wraps', 'Desserts']",6,True
U000044,Chennai,2024-05-01,regular,"['Momos', 'Biryani']",6,False
U000045,Bengaluru,2024-07-27,occasional,"['North Indian', 'South Indian']",2,False
U000046,Hyderabad,2024-10-21,occasional,"['Desserts', 'Biryani']",4,False
U000047,Delhi,2024-01-18,occasional,"['South Indian', 'Desserts']",1,False
U000048,Delhi,2024-04-15,power,"['South Indian', 'Rolls & Wraps']",4,True
U000049,Mumbai,2024-12-17,regular,"['Desserts', 'South Indian']",6,True
U000050,Pune,2024-04-09,occasional,"['Beverages', 'Biryani']",6,False
U000051,Bengaluru,2024-05-11,occasional,"['Biryani', 'Fast Food']",4,False
U000052,Delhi,2024-02-22,regular,"['South Indian', 'Chinese']",4,False
U000053,Chennai,2024-05-29,regular,"['Beverages', 'Fast Food']",3,True
U000054,Bengaluru,2025-01-01,power,"['North Indian', 'Chinese']",4,True
U000055,Hyderabad,2024-09-21,occasional,"['South Indian', 'Rolls & Wraps']",6,False
U000056,Chennai,2024-03-02,occasional,"['Pizza', 'Beverages']",0,True
U000057,Delhi,2024-09-20,occasional,"['Momos', 'North Indian']",6,True
U000058,Hyderabad,2024-06-24,dormant,"['Biryani', 'Desserts']",6,True
U000059,Bengaluru,2024-06-08,power,"['Pizza', 'Fast Food']",1,False
U000060,Bengaluru,2025-01-03,regular,"['Chinese', 'Momos']",4,False
U000061,Pune,2024-01-30,occasional,"['Fast Food', 'Desserts']",3,True
U000062,Chennai,2024-12-04,occasional,"['Momos', 'North Indian']",6,False
U000063,Delhi,2024-06-30,dormant,"['Fast Food', 'Pizza']",3,False
U000064,Pune,2024-10-22,regular,"['Chinese', 'Fast Food']",5,False
U000065,Hyderabad,2024-05-12,dormant,"['Chinese', 'South Indian']",3,True
