event_id,event_date,user_id,experiment_group,trigger_type,restaurant_id,event_type,note
E00000000,2026-03-25,U000232,treatment,cadence,R00072,trigger_evaluated,fired
E00000001,2026-03-25,U000232,treatment,cadence,R00072,nudge_sent,
E00000002,2026-03-25,U000232,treatment,cadence,R00072,nudge_dismissed,not_opened
E00000003,2026-03-28,U001509,treatment,cadence,R00081,trigger_evaluated,fired
E00000004,2026-03-28,U001509,treatment,cadence,R00081,nudge_sent,
E00000005,2026-03-28,U001509,treatment,cadence,R00081,nudge_dismissed,not_opened
E00000006,2026-03-29,U000232,treatment,day_of_week,R00072,trigger_evaluated,fired
E00000007,2026-03-29,U000232,treatment,day_of_week,R00072,nudge_sent,
E00000008,2026-03-29,U000232,treatment,day_of_week,R00072,nudge_dismissed,not_opened
E00000009,2026-03-29,U001234,holdout,cadence,R00063,trigger_evaluated,fired
E00000010,2026-03-31,U000233,holdout,cadence,R00052,trigger_evaluated,fired
E00000011,2026-04-01,U000064,holdout,cadence,R00026,trigger_evaluated,fired
E00000012,2026-04-01,U000233,holdout,cadence,R00052,trigger_evaluated,fired
E00000013,2026-04-01,U000440,holdout,cadence,R00033,trigger_evaluated,fired
E00000014,2026-04-01,U000603,holdout,cadence,R00057,trigger_evaluated,fired
E00000015,2026-04-01,U001064,holdout,cadence,R00093,trigger_evaluated,fired
E00000016,2026-04-02,U000064,holdout,cadence,R00026,trigger_evaluated,fired
E00000017,2026-04-02,U000233,holdout,cadence,R00052,trigger_evaluated,fired
E00000018,2026-04-02,U000440,holdout,cadence,R00033,trigger_evaluated,fired
E00000019,2026-04-02,U000603,holdout,cadence,R00057,trigger_evaluated,fired
E00000020,2026-04-02,U001064,holdout,cadence,R00093,trigger_evaluated,fired
E00000021,2026-04-02,U001297,treatment,cadence,R00004,trigger_evaluated,fired
E00000022,2026-04-02,U001297,treatment,cadence,R00004,nudge_sent,
E00000023,2026-04-02,U001297,treatment,cadence,R00004,nudge_opened,
E00000024,2026-04-02,U001297,treatment,cadence,R00004,nudge_dismissed,opened_no_order
E00000025,2026-04-02,U001410,holdout,cadence,R00095,trigger_evaluated,fired
E00000026,2026-04-03,U000064,holdout,cadence,R00026,trigger_evaluated,fired
E00000027,2026-04-03,U000232,treatment,cadence,R00072,trigger_evaluated,fired
E00000028,2026-04-03,U000232,treatment,cadence,R00072,nudge_sent,
E00000029,2026-04-03,U000232,treatment,cadence,R00072,nudge_opened,
E00000030,2026-04-03,U000232,treatment,cadence,R00072,nudge_dismissed,opened_no_order
E00000031,2026-04-03,U000233,holdout,cadence,R00052,trigger_evaluated,fired
E00000032,2026-04-03,U000283,holdout,cadence,R00064,trigger_evaluated,fired
E00000033,2026-04-03,U000483,holdout,cadence,R00033,trigger_evaluated,fired
E00000034,2026-04-03,U001064,holdout,cadence,R00093,trigger_evaluated,fired
E00000035,2026-04-03,U001221,holdout,cadence,R00093,trigger_evaluated,fired
