order_id,user_id,restaurant_id,cuisine,order_datetime,order_dow,is_rainy,source,trigger_type
O0016000,U001275,R00142,North Indian,2026-03-20 16:00:00,4,False,organic,
O0017975,U001417,R00018,Fast Food,2026-03-20 18:00:00,4,False,organic,
O0007832,U000605,R00012,Fast Food,2026-03-20 20:00:00,4,False,organic,
O0001954,U000142,R00032,Momos,2026-03-21 15:00:00,5,False,organic,
O0003097,U000234,R00085,Pizza,2026-03-21 16:00:00,5,False,organic,
O0006385,U000491,R00098,Fast Food,2026-03-21 17:00:00,5,True,organic,
O0011708,U000915,R00103,Momos,2026-03-21 18:00:00,5,False,organic,
O0022476,U001764,R00129,Momos,2026-03-21 20:00:00,5,False,organic,
O0019103,U001509,R00081,South Indian,2026-03-21 20:00:00,5,False,organic,
O0016351,U001297,R00004,Rolls & Wraps,2026-03-21 21:00:00,5,False,organic,
O0022012,U001734,R00094,South Indian,2026-03-21 22:00:00,5,False,organic,
O0004054,U000309,R00033,Biryani,2026-03-21 23:00:00,5,False,organic,
O0003017,U000232,R00072,Beverages,2026-03-22 17:00:00,6,False,organic,
O0024835,U001967,R00139,Beverages,2026-03-22 17:00:00,6,False,organic,
O0012288,U000971,R00106,Pizza,2026-03-22 17:00:00,6,False,organic,
O0024338,U001926,R00045,Chinese,2026-03-22 18:00:00,6,False,organic,
O0023431,U001860,R00101,Rolls & Wraps,2026-03-22 18:00:00,6,False,organic,
O0003021,U000232,R00072,Beverages,2026-03-22 19:00:00,6,False,organic,
O0011873,U000928,R00138,Beverages,2026-03-22 19:00:00,6,True,organic,
O0022231,U001747,R00022,Chinese,2026-03-22 19:00:00,6,False,organic,
O0022013,U001734,R00094,South Indian,2026-03-22 20:00:00,6,False,organic,
O0007558,U000582,R00055,Desserts,2026-03-22 20:00:00,6,False,organic,
O0003016,U000232,R00120,Beverages,2026-03-22 20:00:00,6,False,organic,
O0016173,U001286,R00054,Chinese,2026-03-22 20:00:00,6,False,organic,
O0011792,U000919,R00083,Pizza,2026-03-22 20:00:00,6,False,organic,
O0006386,U000491,R00009,Fast Food,2026-03-22 21:00:00,6,False,organic,
